Date,Open,High,Low,Close
12/20/2023,"2,053.80","2,056.90","2,040.60","2,047.70"
12/19/2023,"2,041.10","2,061.00","2,034.80","2,052.10"
12/18/2023,"2,033.30","2,048.00","2,029.50","2,040.50"
12/15/2023,"2,051.30","2,059.60","2,029.20","2,035.70"
12/14/2023,"2,043.20","2,062.90","2,039.10","2,044.90"
12/13/2023,"1,995.10","2,043.30","1,987.90","1,997.30"
12/12/2023,"1,997.80","2,012.50","1,992.30","1,993.20"
12/11/2023,"2,020.00","2,023.70","1,991.20","1,993.70"
12/08/2023,"2,045.70","2,050.40","2,010.60","2,014.50"
12/07/2023,"2,043.40","2,057.20","2,036.60","2,046.40"
12/06/2023,"2,037.80","2,053.40","2,035.30","2,047.90"
12/05/2023,"2,049.00","2,059.60","2,027.60","2,036.30"
12/04/2023,"2,094.40","2,152.30","2,038.40","2,042.20"
12/01/2023,"2,056.50","2,095.70","2,052.60","2,089.70"
11/30/2023,"2,065.40","2,067.40","2,051.20","2,057.20"
11/29/2023,"2,062.00","2,072.70","2,055.90","2,067.10"
11/28/2023,"2,014.30","2,044.10","2,011.50","2,040.00"
11/27/2023,"2,002.50","2,018.90","2,001.40","2,012.40"
11/24/2023,"1,993.70","2,004.50","1,992.10","2,003.00"
11/22/2023,"2,000.30","2,008.30","1,988.60","1,992.80"
11/21/2023,"1,980.00","2,009.80","1,979.90","2,001.60"
11/20/2023,"1,980.90","1,987.80","1,967.20","1,980.30"
11/17/2023,"1,984.20","1,996.40","1,981.10","1,984.70"
11/16/2023,"1,963.00","1,991.10","1,959.00","1,987.30"
11/15/2023,"1,966.90","1,979.20","1,958.80","1,964.30"
11/14/2023,"1,950.30","1,975.30","1,938.80","1,966.50"
11/13/2023,"1,943.40","1,953.50","1,935.60","1,950.20"
11/10/2023,"1,964.10","1,965.60","1,936.90","1,937.70"
11/09/2023,"1,955.50","1,971.50","1,948.30","1,969.80"
11/08/2023,"1,975.30","1,977.50","1,953.20","1,957.80"
11/07/2023,"1,984.80","1,985.20","1,962.80","1,973.50"
11/06/2023,"1,999.40","2,000.10","1,984.20","1,988.60"
11/03/2023,"1,993.50","2,011.90","1,989.30","1,999.20"
11/02/2023,"1,992.00","1,999.20","1,986.30","1,993.50"
11/01/2023,"1,993.30","2,005.90","1,978.20","1,987.50"
10/31/2023,"2,005.60","2,017.70","1,987.40","1,994.30"
10/30/2023,"2,013.50","2,016.80","1,999.70","2,005.60"
10/27/2023,"1,995.00","2,019.70","1,986.40","1,998.50"
10/26/2023,"1,991.20","2,003.70","1,981.60","1,997.40"
10/25/2023,"1,982.70","1,998.60","1,973.60","1,994.90"
10/24/2023,"1,984.10","1,992.00","1,964.60","1,986.10"
10/23/2023,"1,987.70","1,994.30","1,971.00","1,987.80"
10/20/2023,"1,988.00","2,009.20","1,983.70","1,994.40"
10/19/2023,"1,960.10","1,990.20","1,957.00","1,980.50"
10/18/2023,"1,936.70","1,975.80","1,935.90","1,968.30"
10/17/2023,"1,933.30","1,944.50","1,924.60","1,935.70"
10/16/2023,"1,941.30","1,943.00","1,921.20","1,934.30"
10/13/2023,"1,881.70","1,946.20","1,881.50","1,941.50"
10/12/2023,"1,888.10","1,898.30","1,880.60","1,883.00"
10/11/2023,"1,873.70","1,890.90","1,871.70","1,887.30"
10/10/2023,"1,875.40","1,879.10","1,866.10","1,875.30"
10/09/2023,"1,861.00","1,877.30","1,857.50","1,864.30"
10/06/2023,"1,834.30","1,849.00","1,823.50","1,845.20"
10/05/2023,"1,837.60","1,843.50","1,826.20","1,831.80"
10/04/2023,"1,838.70","1,846.80","1,831.60","1,834.80"
10/03/2023,"1,844.90","1,849.30","1,830.90","1,841.50"
10/02/2023,"1,864.40","1,864.70","1,842.70","1,847.20"
09/29/2023,"1,882.30","1,896.70","1,862.30","1,866.10"
09/28/2023,"1,893.30","1,896.80","1,874.50","1,878.60"
09/27/2023,"1,918.80","1,921.70","1,890.30","1,890.90"
09/26/2023,"1,935.10","1,935.50","1,917.20","1,919.80"
09/25/2023,"1,944.70","1,946.80","1,933.80","1,936.60"
09/22/2023,"1,939.60","1,949.10","1,939.60","1,945.60"
09/21/2023,"1,952.00","1,952.20","1,933.10","1,939.60"
09/20/2023,"1,953.00","1,968.90","1,948.60","1,967.10"
09/19/2023,"1,955.30","1,958.90","1,950.90","1,953.70"
09/18/2023,"1,945.70","1,955.70","1,943.80","1,953.40"
09/15/2023,"1,932.50","1,952.40","1,931.20","1,946.20"
09/14/2023,"1,930.70","1,934.50","1,921.70","1,932.80"
09/13/2023,"1,935.20","1,938.40","1,927.20","1,932.50"
09/12/2023,"1,945.60","1,947.50","1,929.90","1,935.10"
09/11/2023,"1,943.30","1,954.60","1,939.50","1,947.20"
09/08/2023,"1,943.80","1,954.00","1,940.80","1,942.70"
09/07/2023,"1,942.20","1,947.90","1,940.30","1,942.50"
09/06/2023,"1,951.50","1,954.50","1,940.00","1,944.20"
09/05/2023,"1,964.20","1,964.70","1,950.60","1,952.60"
09/01/2023,"1,966.40","1,980.20","1,960.70","1,967.10"
08/31/2023,"1,970.20","1,974.90","1,965.50","1,965.90"
08/30/2023,"1,966.00","1,977.10","1,962.80","1,973.00"
08/29/2023,"1,948.10","1,966.50","1,941.70","1,965.10"
08/28/2023,"1,944.00","1,954.20","1,940.10","1,946.80"
08/25/2023,"1,944.90","1,950.40","1,931.00","1,939.90"
08/24/2023,"1,944.90","1,951.30","1,939.20","1,947.10"
08/23/2023,"1,926.80","1,949.70","1,926.20","1,948.10"
08/22/2023,"1,924.00","1,933.20","1,917.50","1,926.00"
08/21/2023,"1,918.40","1,927.90","1,913.60","1,923.00"
08/18/2023,"1,919.20","1,926.00","1,915.90","1,916.50"
08/17/2023,"1,922.40","1,933.50","1,914.20","1,915.20"
08/16/2023,"1,933.10","1,938.20","1,922.00","1,928.30"
08/15/2023,"1,939.40","1,944.30","1,927.50","1,935.20"
08/14/2023,"1,945.60","1,948.20","1,934.20","1,944.00"
08/11/2023,"1,944.90","1,953.60","1,942.70","1,946.60"
08/10/2023,"1,947.70","1,963.50","1,944.40","1,948.90"
08/09/2023,"1,959.30","1,966.10","1,947.20","1,950.60"
08/08/2023,"1,971.50","1,972.80","1,956.50","1,959.90"
08/07/2023,"1,977.60","1,981.70","1,966.10","1,970.00"
08/04/2023,"1,969.60","1,984.20","1,954.50","1,976.10"
08/03/2023,"1,970.80","1,974.50","1,964.50","1,968.80"
08/02/2023,"1,988.90","1,992.20","1,969.10","1,975.00"
08/01/2023,"2,004.20","2,004.40","1,978.30","1,978.80"
07/31/2023,"1,997.90","2,010.90","1,986.70","2,009.20"
07/28/2023,"1,945.50","1,962.20","1,944.20","1,960.40"
07/27/2023,"1,973.30","1,982.60","1,941.70","1,945.70"
07/26/2023,"1,966.30","1,979.90","1,963.20","1,970.10"
07/25/2023,"1,957.00","1,967.10","1,951.60","1,963.70"
07/24/2023,"1,963.60","1,969.80","1,955.30","1,962.20"
07/21/2023,"1,972.10","1,975.90","1,958.80","1,966.60"
07/20/2023,"1,980.00","1,989.80","1,967.70","1,970.90"
07/19/2023,"1,982.50","1,984.60","1,973.30","1,980.80"
07/18/2023,"1,958.30","1,988.30","1,958.10","1,980.80"
07/17/2023,"1,958.60","1,963.60","1,949.00","1,956.40"
07/14/2023,"1,965.20","1,967.80","1,954.70","1,964.40"
07/13/2023,"1,962.70","1,968.50","1,956.60","1,963.80"
07/12/2023,"1,938.00","1,965.10","1,937.50","1,961.70"
07/11/2023,"1,930.80","1,944.50","1,929.80","1,937.10"
07/10/2023,"1,930.70","1,933.70","1,918.00","1,931.00"
07/07/2023,"1,916.60","1,941.10","1,915.40","1,932.50"
07/06/2023,"1,922.40","1,934.00","1,908.50","1,915.40"
07/05/2023,"1,933.70","1,942.90","1,922.10","1,927.10"
07/03/2023,"1,927.80","1,939.90","1,917.70","1,929.50"
06/30/2023,"1,916.40","1,930.80","1,908.10","1,929.40"
06/29/2023,"1,916.50","1,921.30","1,900.60","1,917.90"
06/28/2023,"1,923.10","1,926.10","1,911.40","1,922.20"
06/27/2023,"1,932.70","1,940.30","1,919.80","1,923.80"
06/26/2023,"1,936.30","1,943.40","1,931.10","1,933.80"
06/23/2023,"1,923.50","1,949.00","1,919.50","1,929.60"
06/22/2023,"1,943.30","1,945.10","1,922.00","1,923.70"
06/21/2023,"1,948.00","1,950.40","1,929.30","1,944.90"
06/20/2023,"1,962.70","1,968.70","1,940.80","1,947.70"
06/16/2023,"1,970.30","1,980.40","1,965.40","1,971.20"
06/15/2023,"1,955.70","1,972.80","1,936.10","1,970.70"
06/14/2023,"1,957.20","1,973.90","1,952.50","1,968.90"
06/13/2023,"1,971.40","1,985.90","1,953.00","1,958.60"
06/12/2023,"1,975.60","1,981.40","1,963.10","1,969.70"
06/09/2023,"1,980.50","1,987.80","1,971.00","1,977.20"
06/08/2023,"1,956.20","1,985.70","1,955.20","1,978.60"
06/07/2023,"1,980.00","1,986.50","1,955.40","1,958.40"
06/06/2023,"1,978.00","1,982.90","1,970.30","1,981.50"
06/05/2023,"1,962.30","1,980.40","1,953.80","1,974.30"
06/02/2023,"1,994.60","2,000.50","1,963.70","1,969.60"
06/01/2023,"1,981.30","2,000.70","1,970.10","1,995.50"
05/31/2023,"1,977.50","1,993.10","1,971.80","1,982.10"
05/30/2023,"1,962.40","1,981.90","1,949.60","1,977.10"
05/26/2023,"1,941.70","1,957.10","1,936.00","1,944.30"
05/25/2023,"1,959.50","1,965.40","1,939.00","1,943.70"
05/24/2023,"1,977.30","1,987.90","1,958.40","1,964.60"
05/23/2023,"1,973.90","1,980.00","1,955.80","1,974.50"
05/22/2023,"1,979.40","1,984.80","1,970.70","1,977.20"
05/19/2023,"1,960.50","1,987.40","1,956.30","1,981.60"
05/18/2023,"1,985.60","1,988.80","1,954.40","1,959.80"
05/17/2023,"1,993.00","1,997.00","1,978.10","1,984.90"
05/16/2023,"2,021.30","2,022.70","1,989.10","1,993.00"
05/15/2023,"2,013.40","2,027.50","2,011.20","2,022.70"
05/12/2023,"2,020.50","2,027.80","2,005.70","2,019.80"
05/11/2023,"2,036.80","2,047.60","2,016.70","2,020.50"
05/10/2023,"2,041.60","2,056.00","2,028.30","2,037.10"
05/09/2023,"2,028.40","2,045.10","2,026.40","2,042.90"
05/08/2023,"2,024.60","2,037.10","2,022.00","2,033.20"
05/05/2023,"2,058.00","2,061.30","2,007.00","2,024.80"
05/04/2023,"2,054.70","2,085.40","2,038.50","2,055.70"
05/03/2023,"2,026.40","2,050.00","2,016.00","2,037.00"
05/02/2023,"1,990.50","2,028.80","1,986.90","2,023.30"
05/01/2023,"2,000.20","2,015.40","1,985.70","1,992.20"
04/28/2023,"1,997.20","2,004.10","1,984.40","1,999.10"
04/27/2023,"1,999.80","2,013.30","1,982.00","1,999.00"
04/26/2023,"2,007.70","2,020.20","1,993.70","1,996.00"
04/25/2023,"1,999.40","2,014.50","1,986.20","2,004.50"
04/24/2023,"1,992.00","2,001.50","1,984.40","1,999.80"
